node_name,Level,Position,Price,PSI_attribute,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99,w100,w101,w102,w103,w104,w105,w106,w107,w108,w109,w110,w111,w112,w113,w114,w115,w116,w117,w118,w119,w120,w121,w122,w123,w124,w125,w126,w127,w128,w129,w130,w131,w132,w133,w134,w135,w136,w137,w138,w139,w140,w141,w142,w143,w144,w145,w146,w147,w148,w149,w150,w151,w152,w153,w154,w155,w156,w157,w158,w159
supply_point,0,1,11.606217616580311,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,208.9119170984456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supply_point,0,1,11.606217616580311,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,324.9740932642487,208.9119170984456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supply_point,0,1,5.22279792746114,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supply_point,0,1,5.22279792746114,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,146.23834196891193,94.01036269430051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supply_point,0,1,4.642487046632125,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,83.56476683937825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supply_point,0,1,4.642487046632125,OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,129.9896373056995,83.56476683937825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supply_point,0,1,4.642487046632125,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129.9896373056995,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,194.98445595854923,241.40932642487047,208.9119170984456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DADASIA,1,1,29.015544041450777,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,0.0,1624.8704663212436,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,0.0,1624.8704663212436,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,0.0,1624.8704663212436,812.4352331606218,812.4352331606218,812.4352331606218,0.0,0.0,0.0,3249.740932642487,812.4352331606218,812.4352331606218,812.4352331606218,522.279792746114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DADASIA,1,1,29.015544041450777,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,0.0,1624.8704663212436,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,0.0,1624.8704663212436,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,812.4352331606218,0.0,1624.8704663212436,812.4352331606218,812.4352331606218,812.4352331606218,0.0,0.0,0.0,3249.740932642487,812.4352331606218,812.4352331606218,812.4352331606218,522.279792746114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DADASIA,1,1,13.056994818652848,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
